Location_ID,Location_Name,Date_Early,Date_Mid,Date_Late,Latitude,Longitude,Region,Ocean_Basin,Ecosystem_Type,Climate_Zone,SST_2003_C,SST_2010_C,SST_2025_C,Current_U_2025_m_s,Current_V_2025_m_s,Current_Speed_2025_m_s,Current_Direction_2025_deg,Chlorophyll_2003_mg_m3,Chlorophyll_2010_mg_m3,Nitrate_2003_mmol_m3,Nitrate_2010_mmol_m3,Phosphate_2003_mmol_m3,Phosphate_2010_mmol_m3,Silicate_2003_mmol_m3,Silicate_2010_mmol_m3,Oxygen_2003_mmol_m3,Oxygen_2010_mmol_m3,Marine_Life_Production_2003_mg_m3_day,Marine_Life_Production_2010_mg_m3_day,pH_2025,DIC_2025_mmol_m3,Alkalinity_2025_mmol_m3,Sea_Ice_2003_percent,Sea_Ice_2010_percent,Sea_Ice_2025_percent
1,Eq_001,2003-01-15,2010-01-15,2025-01-15,-5.0,-82.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical,21.829999923706055,21.760000228881836,19.850000381469727,-0.15862135589122772,0.056352101266384125,0.16833387615660828,160.44181983756067,0.5267840027809143,0.5267840027809143,9.822885513305664,9.822885513305664,1.0037329196929932,1.0037329196929932,4.621310234069824,4.621310234069824,206.47308349609375,206.47308349609375,29.69346046447754,29.69346046447754,7.892212390899658,2.145908832550049,2.367852210998535,,,
2,Ind_002,2003-01-15,2010-01-15,2025-01-15,2.5,97.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical,29.44999885559082,29.229999542236328,29.739999771118164,0.03323126584291458,0.029616808518767357,0.044513732446962835,41.70848657521011,0.12257251888513565,0.12257251888513565,0.14608362317085266,0.14608362317085266,0.0002215670538134873,0.0002215670538134873,10.680163383483887,10.680163383483887,196.97642517089844,196.97642517089844,5.614449977874756,5.614449977874756,8.03320598602295,1.870871901512146,2.1952128410339355,,,
3,ARC_003,2003-01-15,2010-01-15,2025-01-15,85.0,-150.0,Arctic,Arctic_Ocean,Polar_Marine,Polar,-1.7999999523162842,-1.7699999809265137,-1.5999999046325684,0.08241182565689087,-0.03018335811793804,0.08776527852959548,339.8847268651522,0.04223610833287239,0.04223610833287239,7.9874420166015625,7.9874420166015625,1.0644023418426514,1.0644023418426514,18.433658599853516,18.433658599853516,373.6314392089844,373.6314392089844,0.06192562356591225,0.06192562356591225,8.108187675476074,2.07108211517334,2.184257745742798,1.0,0.9899999499320984,0.7999999523162842
4,ARC_004,2003-01-15,2010-01-15,2025-01-15,70.0,30.0,Arctic,Arctic_Ocean,Polar_Marine,Polar,,,,-0.03132133185863495,-0.01966542750597,0.03698317006952354,212.12308904996564,1.1404486894607544,1.1404486894607544,2.2146284580230713,2.2146284580230713,0.005807839334011078,0.005807839334011078,21.158641815185547,21.158641815185547,289.4239196777344,289.4239196777344,41.863136291503906,41.863136291503906,8.145974159240723,2.1276023387908936,2.304713726043701,,,
5,ARC_005,2003-01-15,2010-01-15,2025-01-15,77.5,-127.5,Arctic,Arctic_Ocean,Polar_Marine,Polar,-1.7999999523162842,-1.7699999809265137,-1.4199999570846558,-0.04138322174549103,-0.06533737480640411,0.07734043954251238,237.65075127949547,0.052950169891119,0.052950169891119,8.32054328918457,8.32054328918457,1.1128877401351929,1.1128877401351929,18.14531898498535,18.14531898498535,372.2398376464844,372.2398376464844,0.15513093769550323,0.15513093769550323,7.9443464279174805,2.0830609798431396,2.1474449634552,1.0,0.9899999499320984,0.9199999570846558
6,SAtl_006,2003-01-15,2010-01-15,2025-01-15,-27.5,-75.0,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical,20.989999771118164,18.920000076293945,14.869999885559082,-0.18076032400131226,0.2069665640592575,0.2747898349130734,131.13329179687446,0.19225282967090607,0.19225282967090607,3.9779889583587646,3.9779889583587646,0.8809155225753784,0.8809155225753784,0.767518162727356,0.767518162727356,247.46400451660156,247.46400451660156,3.710134744644165,3.710134744644165,8.018625259399414,2.0993685722351074,2.3490984439849854,,,
7,SO_007,2003-01-15,2010-01-15,2025-01-15,-72.5,-112.5,Southern_Ocean,Southern_Ocean,Polar_Marine,Polar,-1.6999999284744263,-1.7400000095367432,-1.6699999570846558,0.04296394810080528,-0.069306381046772,0.081543088549607,301.79532488309815,0.05325295031070709,0.05325295031070709,26.018491744995117,26.018491744995117,1.8569658994674683,1.8569658994674683,45.9208984375,45.9208984375,356.35498046875,356.35498046875,0.0,0.0,8.097343444824219,2.188323497772217,2.316518545150757,0.9899999499320984,0.9199999570846558,0.7599999904632568
8,NPac_008,2003-01-15,2010-01-15,2025-01-15,47.5,165.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate,2.7200000286102295,2.2100000381469727,11.550000190734863,0.07996602356433868,0.013871478848159313,0.08116022948542778,9.841007738807326,0.3411354720592499,0.3411354720592499,18.007097244262695,18.007097244262695,1.5107601881027222,1.5107601881027222,24.003326416015625,24.003326416015625,315.46478271484375,315.46478271484375,8.045269966125488,8.045269966125488,8.01661205291748,2.1731836795806885,2.300260305404663,,,
9,SO_009,2003-01-15,2010-01-15,2025-01-15,-65.0,-180.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate,1.1899999380111694,0.29999998211860657,-0.2199999988079071,0.057627975940704346,0.009240319952368736,0.05836409104787414,9.109512833197257,0.10605338215827942,0.10605338215827942,29.114280700683594,29.114280700683594,2.034273624420166,2.034273624420166,63.7137336730957,63.7137336730957,350.6709289550781,350.6709289550781,0.01321661937981844,0.01321661937981844,8.005960464477539,2.2531144618988037,2.3671793937683105,,,0.1599999964237213
10,NAtl_010,2003-01-15,2010-01-15,2025-01-15,32.5,-37.5,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical,20.15999984741211,20.479999542236328,25.649999618530273,0.03862486779689789,0.08823419362306595,0.09631798033929351,66.35841017616,0.07758496701717377,0.07758496701717377,0.0042365118861198425,0.0042365118861198425,0.006298277527093887,0.006298277527093887,0.9888249635696411,0.9888249635696411,217.5378875732422,217.5378875732422,1.2079261541366577,1.2079261541366577,8.06312370300293,2.1378297805786133,2.4389190673828125,,,
11,Ind_011,2003-01-15,2010-01-15,2025-01-15,10.0,82.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical,26.529998779296875,29.76999855041504,29.78999900817871,-0.2987450957298279,-0.36741355061531067,0.47354128584356137,230.88533301772011,0.08435234427452087,0.08435234427452087,0.005591929890215397,0.005591929890215397,0.0002069252950605005,0.0002069252950605005,3.2748732566833496,3.2748732566833496,198.54306030273438,198.54306030273438,2.2572405338287354,2.2572405338287354,8.014225006103516,1.9589736461639404,2.2871015071868896,,,
12,Ind_012,2003-01-15,2010-01-15,2025-01-15,2.5,75.0,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical,28.139999389648438,30.029998779296875,29.670000076293945,0.48444679379463196,-0.08829226344823837,0.4924268674663394,349.6709956353974,0.0945255309343338,0.0945255309343338,0.002245720475912094,0.002245720475912094,0.013164931908249855,0.013164931908249855,2.2203922271728516,2.2203922271728516,199.8077850341797,199.8077850341797,3.058236598968506,3.058236598968506,8.010948181152344,1.9710606336593628,2.302217960357666,,,
